char,charLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel
http://www.wikidata.org/entity/Q117422847,Sudeshnavati,,,,,http://www.wikidata.org/entity/Q7929388,Vikarna
http://www.wikidata.org/entity/Q118150777,Jyotsyana,http://www.wikidata.org/entity/Q7929388,Vikarna,http://www.wikidata.org/entity/Q117422847,Sudeshnavati,,
http://www.wikidata.org/entity/Q118175951,Nirjara,,,,,http://www.wikidata.org/entity/Q2044646,Duḥśāsana
http://www.wikidata.org/entity/Q118370072,Dhanumati,,,,,http://www.wikidata.org/entity/Q2357086,Dhṛṣṭadyumna
http://www.wikidata.org/entity/Q118370106,Dhanumati,,,,,http://www.wikidata.org/entity/Q2357086,Dhṛṣṭadyumna
http://www.wikidata.org/entity/Q130240721,Q130240721,,,,,,
http://www.wikidata.org/entity/Q134447107,Q134447107,,,,,http://www.wikidata.org/entity/Q1405823,Duryodhana
http://www.wikidata.org/entity/Q136796061,Q136796061,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q1770690,Mādrī,http://www.wikidata.org/entity/Q2357086,Dhṛṣṭadyumna
http://www.wikidata.org/entity/Q2978464,Śiśupāla,,,,,,
http://www.wikidata.org/entity/Q3049561,Rishyasringa,http://www.wikidata.org/entity/Q16886331,Vibhandak Rishi,http://www.wikidata.org/entity/Q2307799,Urvaśī,http://www.wikidata.org/entity/Q7489020,Shanta
http://www.wikidata.org/entity/Q3269155,Banasura,http://www.wikidata.org/entity/Q59178,Mahabali,,,,
http://www.wikidata.org/entity/Q3275998,Tilottama,,,,,http://www.wikidata.org/entity/Q2879755,Aniruddha
http://www.wikidata.org/entity/Q2841495,Samba,http://www.wikidata.org/entity/Q42891,Krishna,,,http://www.wikidata.org/entity/Q22906248,Lakshmanaa
http://www.wikidata.org/entity/Q2879755,Aniruddha,http://www.wikidata.org/entity/Q3764980,Pradyumna,,,http://www.wikidata.org/entity/Q98382191,Usha
http://www.wikidata.org/entity/Q2978451,Ugrasena,,,,,,
http://www.wikidata.org/entity/Q2978459,Virāṭa,,,,,http://www.wikidata.org/entity/Q15290894,Sudeshna
http://www.wikidata.org/entity/Q2472652,Adhiratha,,,,,,
http://www.wikidata.org/entity/Q2472701,Hiḍimbī,,,,,http://www.wikidata.org/entity/Q3651886,Bhīma
